"","Screening Criteria","Use","Jurisdiction","Parameter","Criteria_mg_L","CriteriaFraction","CF","Criterion_Formula_mgL"
"180","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Copper",0.02289824179,"Dissolved",NA,NA
"181","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Lead",0.008128200782,"Dissolved",NA,NA
"182","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Nickel",0.1317354131,"Dissolved",NA,NA
"183","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Silver",0.001800360508,"Dissolved",NA,NA
"184","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Zinc",0.2996802181,"Dissolved",NA,NA
"185","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Cadmium",0.005852807266,"Dissolved",NA,NA
"186","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Chromium",1.401060574,"Dissolved",NA,NA
"187","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Copper",0.03783678786,"Dissolved",NA,NA
"188","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Lead",0.2085684463,"Dissolved",NA,NA
"189","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Nickel",1.186066882,"Dissolved",NA,NA
"190","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Silver",0.02282797887,"Dissolved",NA,NA
"191","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Zinc",0.2996802181,"Dissolved",NA,NA
"192","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Hardness",300,"Dissolved",NA,NA
"193","Aquatic Life","Aquatic Acute","New Mexico","Arsenic",0.34,"Dissolved",NA,NA
"194","Aquatic Life","Aquatic Acute","New Mexico","Cadmium",0.00421103424,"Dissolved",NA,NA
"195","Aquatic Life","Aquatic Acute","New Mexico","Chromium",0.016,"Dissolved",NA,NA
"196","Aquatic Life","Aquatic Acute","New Mexico","Copper",0.03783678786,"Dissolved",NA,NA
"197","Aquatic Life","Aquatic Acute","New Mexico","Lead",0.2085835318,"Dissolved",NA,NA
"198","Aquatic Life","Aquatic Acute","New Mexico","Manganese",4.304989347,"Dissolved",NA,NA
"199","Aquatic Life","Aquatic Acute","New Mexico","Mercury",0.0014,"Dissolved",NA,NA
"200","Aquatic Life","Aquatic Acute","New Mexico","Nickel",1.186066882,"Dissolved",NA,NA
"201","Aquatic Life","Aquatic Acute","New Mexico","Silver",0.02128466642,"Dissolved",NA,NA
"202","Aquatic Life","Aquatic Acute","New Mexico","Zinc",0.4345339917,"Dissolved",NA,NA
"203","Aquatic Life","Aquatic Acute","New Mexico","Hardness",300,"Dissolved",NA,NA
"204","Aquatic Life","Warm Water Fish 1-hr","Utah","Aluminum",0.75,"Dissolved",NA,NA
"205","Aquatic Life","Warm Water Fish 1-hr","Utah","Arsenic",0.34,"Dissolved",NA,NA
"206","Aquatic Life","Warm Water Fish 1-hr","Utah","Cadmium",0.002,"Dissolved",NA,NA
"207","Aquatic Life","Warm Water Fish 1-hr","Utah","Chromium",0.016,"Dissolved",NA,NA
"208","Aquatic Life","Warm Water Fish 1-hr","Utah","Copper",0.013,"Dissolved",NA,NA
"209","Aquatic Life","Warm Water Fish 1-hr","Utah","Iron",1,"Dissolved",NA,NA
"210","Aquatic Life","Warm Water Fish 1-hr","Utah","Lead",0.065,"Dissolved",NA,NA
