Date_Time,Site_ID,State,Tribe,Secondary_Tribe,Region,Time_Period,Sample_Type,Hardness,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Selenium,Silver,Sodium,Thallium,Vanadium,Zinc,Strontium,Uranium
11/14/2018,10SANJUANR36,New Mexico,Navajo Nation,NA,Region 6,1,Total,256,1480,0.22,0.87,75,0.13,NA,0.12,80700,1.1,0.6,1.9,1180,1.2,13300,38.3,0.079,1.5,3.2,3680,0.64,0.45,44400,0.2,2.1,7.1,970,2.1
11/14/2018,10SANJUANR26,New Mexico,Navajo Nation,NA,Region 6,1,Total,275,2040,0.22,0.96,88,0.13,NA,0.12,86200,1.1,0.6,2.1,1530,1.4,14500,45.7,0.079,1.9,3.5,3800,0.85,0.45,47500,0.2,2.6,7.6,1000,2.1
11/13/2018,02SANJUANR06,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total,280,4020,0.22,1.3,108,0.13,NA,0.12,87400,1.5,1.1,3.3,2950,2.3,15100,84,0.079,1.6,4.2,4260,0.95,0.45,48900,0.2,4.5,11.5,1000,2.4
11/13/2018,02SANJUANR09,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total,275,4280,0.22,1.3,109,0.13,NA,0.12,84500,1.6,1.1,4.3,3100,2.5,15500,85.3,0.079,1.6,4.3,4060,0.88,0.45,51300,0.2,4.6,15,1000,2.4
11/13/2018,04MCELMOCR01,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Total,1370,864,1.7,1.1,25,0.13,NA,0.12,271000,2,1.2,3,511,0.5,168000,133,0.146,6.1,11.7,6740,2.7,0.45,199000,0.6,2,6.4,4600,9
11/13/2018,02SANJUANR07,Utah,Navajo Nation,NA,Region 8,1,Total,292,3270,0.22,1.2,117,0.13,NA,0.12,88400,1.4,1,2.9,2300,2.1,17300,67.2,0.079,1.7,4,3790,0.97,0.45,52000,0.2,4.2,10,1100,2.5
11/13/2018,02SANJUANR08,Utah,Navajo Nation,NA,Region 8,1,Total,284,3910,0.22,1.3,112,0.13,NA,0.12,85100,1.5,1,3.2,2590,2.2,17400,64.2,0.11,1.7,4,3800,0.91,0.45,50700,0.2,4.5,9.8,1000,2.4
11/12/2018,01CHINLECR27,Utah,Navajo Nation,NA,Region 8,1,Total,253,56700,0.22,4.7,420,0.68,NA,0.12,57900,13.9,6.2,8.3,23700,9,26300,250,0.187,1.1,15.7,17800,1.3,0.45,94500,0.2,32.6,29,1000,5.8
11/12/2018,29SANJUANR05,Utah,Navajo Nation,NA,Region 8,1,Total,282,3640,0.22,1.2,122,0.13,NA,0.12,85300,1.4,0.9,4.2,2510,2.2,16700,64,0.079,1.8,4.1,3890,0.97,0.45,47600,0.2,4.2,9.6,1000,2.2
11/12/2018,4952942,Utah,NA,NA,Region 8,1,Total,298,7880,0.22,1.6,174,0.13,NA,0.12,89800,2.7,1.6,4.5,4960,3.4,17800,106,0.123,1.6,5.5,4760,0.92,0.45,48700,0.2,7.4,14.2,1100,2.5
11/12/2018,CGCLR713.70,ArizoNew Mexico,NA,NA,Region 9,1,Total,233,0,0.22,1.5,80,0.13,NA,0.12,61600,1.1,0.6,1.2,12,0.4,19300,1.9,0,3.6,2.9,4260,1.6,0.45,56700,0.2,1.9,0.8,670,2.9
11/15/2018,10FRUCANAL40,New Mexico,Navajo Nation,NA,Region 6,1,Total,226,375,0.22,0.72,75,0.13,NA,0.12,72700,1.1,0.6,1.2,317,0.4,10800,23.1,0.079,0.4,3.1,2770,0.62,0.45,36300,0.2,1.1,4.2,890,1.5
11/14/2018,10HOGBACKC42,New Mexico,Navajo Nation,NA,Region 6,1,Total,233,362,0.22,0.76,66,0.13,NA,0.12,73500,1.1,0.6,1.4,296,0.4,12100,32.9,0.079,1.7,2.7,3790,0.7,0.45,47800,0.2,1.4,3.2,860,1.7
11/15/2018,64Galleg000.4,New Mexico,NA,NA,Region 6,1,Total,644,2950,0.7,1.5,68,0.13,NA,0.12,206000,1.2,0.8,5,1690,1.1,31500,32.6,0,10.9,6.8,4620,13.8,0.68,352000,0.5,4.1,5.5,4000,17
11/6/2018,9488,Colorado,NA,NA,Region 8,1,Dissolved,175,95,0.22,0.22,23,0.13,NA,1.3,62100,1.1,0.6,4.4,120,1,3640,1620,0.079,1.3,1.7,801,0.41,0.45,2580,0.2,0.2,473,NA,NA
11/6/2018,9447,Colorado,NA,NA,Region 8,1,Dissolved,225,684,0.22,0.22,25,0.13,NA,0.83,81200,1.1,7.3,7.2,4010,0.6,6050,340,0.079,0.2,3.8,925,0.41,0.45,3900,0.2,0.2,186,NA,NA
11/6/2018,CEM49,Colorado,NA,NA,Region 8,1,Dissolved,559,6850,0.22,2,11,0.84,NA,3.4,208000,1.1,21.6,30,14600,8.5,11100,4330,0.079,0.2,17.5,2250,0.41,0.45,4760,0.3,0.5,1770,NA,NA
11/6/2018,82,Colorado,NA,NA,Region 8,1,Dissolved,268,591,0.22,0.22,20,0.13,NA,1.4,98800,1.1,7.2,8.2,3460,1.6,6260,1410,0.079,0.2,5.6,1180,0.41,0.45,3800,0.2,0.2,567,NA,NA
