Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
141,Aquatic Life,Aquatic Acute,New Mexico,Nickel,Dissolved,,0.998,(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000
211,Aquatic Life,Aquatic Chronic,New Mexico,Nickel,Dissolved,,0.997,(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000
304,Domestic Water Supply,Domestic Water Supply,New Mexico,Nickel,Dissolved,0.7,,
353,Fish Consumption,HH-OO,New Mexico,Nickel,Dissolved,4.6,,
58,Agriculture,Irrigation (long-term),Utah,Nickel,Dissolved,0.2,,
72,Agriculture,Irrigation (short-term),Utah,Nickel,Dissolved,2,,
149,Aquatic Life,Aquatic Acute,Utah,Nickel,Dissolved,,0.998,(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000
110,Aquatic Life,Aquatic Acute,Colorado,Nickel,Dissolved,,1,(CF*exp( 0.846 *log(hardness)+ 2.253 ))/1000
182,Aquatic Life,Aquatic Chronic,Colorado,Nickel,Dissolved,,1,(CF*exp( 0.846 *log(hardness)+ 0.0554 ))/1000
333,Fish Consumption,Fish Consumption,Colorado,Nickel,Dissolved,4.6,,
218,Aquatic Life,Aquatic Chronic,Utah,Nickel,Dissolved,,0.997,(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000
259,Aquatic Life,Warm Water Fish 1-hr,Utah,Nickel,Dissolved,0.468,,
272,Aquatic Life,Warm Water Fish 4-day,Utah,Nickel,Dissolved,0.052,,
170,Aquatic Life,Aquatic Acute 1-Hour,Ute Mountain Ute,Selenium,Total Recoverable,0.02,,
234,Aquatic Life,Aqutic Chronic 4-Day,Ute Mountain Ute,Selenium,Total Recoverable,0.005,,
350,Fish Consumption,Fish Consumption,Ute Mountain Ute,Selenium,Total Recoverable,4.2,,
157,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Silver,Dissolved,,3.290505856,(CF*exp( 1.72 *log(hardness)+ -6.52 ))/1000
225,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Silver,Dissolved,,0.7505058564,(CF*exp( 1.72 *log(hardness)+ -9.06 ))/1000
324,Domestic Water Supply,Domestic and Tribal 30-Day,,Aluminum,Total,1.80E-05,,
325,Domestic Water Supply,Domestic and Tribal 30-Day,,Mercury,Total,5.00E-05,,
326,Domestic Water Supply,Domestic and Tribal 30-Day,,Selenium,Total,0.05,,
323,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Silver,Dissolved,0.1,,
25,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Zinc,Total Recoverable,2,,
158,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Zinc,Dissolved,,5.716814891,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
457,Recreation and Human Contact,Recreational,Utah,Nickel,Total,17.48,,
